"","Precipitation","Month","Year"
"ppt198901bi",16.05999947,1,1989
"ppt198902bi",34.79000092,2,1989
"ppt198903bi",50.95999908,3,1989
"ppt198904bi",9.649999619,4,1989
"ppt198905bi",59.90999985,5,1989
"ppt198906bi",18.25,6,1989
"ppt198907bi",23.64999962,7,1989
"ppt198908bi",23.0699997,8,1989
"ppt198909bi",43.95999908,9,1989
"ppt198910bi",7.03000021,10,1989
"ppt198911bi",7.28000021,11,1989
"ppt198912bi",2.640000105,12,1989
"ppt199001bi",83.94999695,1,1990
"ppt199002bi",46.58000183,2,1990
"ppt199003bi",15.5,3,1990
"ppt199004bi",34.52999878,4,1990
"ppt199005bi",48.04999924,5,1990
"ppt199006bi",4.46999979,6,1990
"ppt199007bi",49.33000183,7,1990
"ppt199008bi",6.889999867,8,1990
"ppt199009bi",29.17000008,9,1990
"ppt199010bi",3.339999914,10,1990
"ppt199011bi",5.869999886,11,1990
"ppt199012bi",7.849999905,12,1990
"ppt199101bi",8.960000038,1,1991
"ppt199102bi",11.09000015,2,1991
"ppt199103bi",267.3099976,3,1991
"ppt199104bi",12.92000008,4,1991
"ppt199105bi",26.25,5,1991
"ppt199106bi",14.71000004,6,1991
"ppt199107bi",12.09000015,7,1991
"ppt199108bi",16.46999931,8,1991
"ppt199109bi",12.93000031,9,1991
"ppt199110bi",63.59999847,10,1991
"ppt199111bi",17.68000031,11,1991
"ppt199112bi",48.95999908,12,1991
"ppt199201bi",21.53000069,1,1992
"ppt199202bi",80.08999634,2,1992
"ppt199203bi",37.20000076,3,1992
"ppt199204bi",13.05000019,4,1992
"ppt199205bi",13.65999985,5,1992
"ppt199206bi",26.38999939,6,1992
"ppt199207bi",33.8199997,7,1992
"ppt199208bi",29.98999977,8,1992
"ppt199209bi",7.260000229,9,1992
"ppt199210bi",39.66999817,10,1992
"ppt199211bi",0,11,1992
"ppt199212bi",142.7299957,12,1992
"ppt199301bi",150.7100067,1,1993
"ppt199302bi",132.0700073,2,1993
"ppt199303bi",32.86999893,3,1993
"ppt199304bi",12.02000046,4,1993
"ppt199305bi",1.080000043,5,1993
"ppt199306bi",16.18000031,6,1993
"ppt199307bi",0,7,1993
"ppt199308bi",6.590000153,8,1993
"ppt199309bi",0,9,1993
"ppt199310bi",4.46999979,10,1993
"ppt199311bi",21.14999962,11,1993
"ppt199312bi",30,12,1993
"ppt199401bi",10.44999981,1,1994
"ppt199402bi",98.04000092,2,1994
"ppt199403bi",52.27000046,3,1994
"ppt199404bi",27.87000084,4,1994
"ppt199405bi",70.41000366,5,1994
"ppt199406bi",5.480000019,6,1994
"ppt199407bi",12.31000042,7,1994
"ppt199408bi",0.310000002,8,1994
"ppt199409bi",44.38000107,9,1994
"ppt199410bi",57.5699997,10,1994
"ppt199411bi",34.70000076,11,1994
"ppt199412bi",21.44000053,12,1994
"ppt199501bi",180,1,1995
"ppt199502bi",19.87999916,2,1995
"ppt199503bi",257.8099976,3,1995
"ppt199504bi",24.30999947,4,1995
"ppt199505bi",108.9599991,5,1995
"ppt199506bi",47.70000076,6,1995
"ppt199507bi",8.18999958,7,1995
"ppt199508bi",3.539999962,8,1995
"ppt199509bi",4.039999962,9,1995
"ppt199510bi",0,10,1995
"ppt199511bi",0,11,1995
"ppt199512bi",98.76000214,12,1995
"ppt199601bi",86.97000122,1,1996
"ppt199602bi",174.1100006,2,1996
"ppt199603bi",67.90000153,3,1996
"ppt199604bi",89.0699997,4,1996
"ppt199605bi",74.84999847,5,1996
"ppt199606bi",6.599999905,6,1996
"ppt199607bi",23.52000046,7,1996
"ppt199608bi",14.10000038,8,1996
"ppt199609bi",3.420000076,9,1996
"ppt199610bi",92.16000366,10,1996
"ppt199611bi",65.5699997,11,1996
"ppt199612bi",149.3999939,12,1996
"ppt199701bi",198.6799927,1,1997
"ppt199702bi",13.22999954,2,1997
"ppt199703bi",0,3,1997
"ppt199704bi",20.62000084,4,1997
"ppt199705bi",12.15999985,5,1997
"ppt199706bi",53.20000076,6,1997
"ppt199707bi",39.38000107,7,1997
"ppt199708bi",5.320000172,8,1997
"ppt199709bi",17.04999924,9,1997
"ppt199710bi",7.690000057,10,1997
"ppt199711bi",29.48999977,11,1997
"ppt199712bi",55.79999924,12,1997
"ppt199801bi",49.04999924,1,1998
"ppt199802bi",237.2400055,2,1998
"ppt199803bi",75.5,3,1998
"ppt199804bi",14.10000038,4,1998
"ppt199805bi",48.47999954,5,1998
"ppt199806bi",82.16000366,6,1998
"ppt199807bi",48.33000183,7,1998
"ppt199808bi",5.800000191,8,1998
"ppt199809bi",35.02000046,9,1998
"ppt199810bi",13.02999973,10,1998
"ppt199811bi",11.80000019,11,1998
"ppt199812bi",9.140000343,12,1998
"ppt199901bi",83.79000092,1,1999
"ppt199902bi",71.19000244,2,1999
"ppt199903bi",12.82999992,3,1999
"ppt199904bi",96.26000214,4,1999
"ppt199905bi",62.18000031,5,1999
"ppt199906bi",5.210000038,6,1999
"ppt199907bi",37.83000183,7,1999
"ppt199908bi",8.970000267,8,1999
"ppt199909bi",32.15000153,9,1999
"ppt199910bi",9.090000153,10,1999
"ppt199911bi",5.480000019,11,1999
"ppt199912bi",0,12,1999
"ppt200001bi",84.55000305,1,2000
"ppt200002bi",77.41999817,2,2000
"ppt200003bi",23.57999992,3,2000
"ppt200004bi",27.55999947,4,2000
"ppt200005bi",10,5,2000
"ppt200006bi",4.309999943,6,2000
"ppt200007bi",0,7,2000
"ppt200008bi",71.16000366,8,2000
"ppt200009bi",0,9,2000
"ppt200010bi",37.93999863,10,2000
"ppt200011bi",2.589999914,11,2000
"ppt200012bi",0,12,2000
"ppt200101bi",74.37999725,1,2001
"ppt200102bi",92.62000275,2,2001
"ppt200103bi",90.29000092,3,2001
"ppt200104bi",83.90000153,4,2001
"ppt200105bi",4.139999867,5,2001
"ppt200106bi",0,6,2001
"ppt200107bi",52.86999893,7,2001
"ppt200108bi",11.10000038,8,2001
"ppt200109bi",18.85000038,9,2001
"ppt200110bi",25.68000031,10,2001
"ppt200111bi",35.11000061,11,2001
"ppt200112bi",92.8199997,12,2001
"ppt200201bi",21.84000015,1,2002
"ppt200202bi",7.159999847,2,2002
"ppt200203bi",39.54999924,3,2002
"ppt200204bi",33.25999832,4,2002
"ppt200205bi",1.429999948,5,2002
"ppt200206bi",15.3199997,6,2002
"ppt200207bi",17.61000061,7,2002
"ppt200208bi",0,8,2002
"ppt200209bi",6.650000095,9,2002
"ppt200210bi",8.899999619,10,2002
"ppt200211bi",70.09999847,11,2002
"ppt200212bi",99.54000092,12,2002
"ppt200301bi",19.70999908,1,2003
"ppt200302bi",47.47000122,2,2003
"ppt200303bi",42.88000107,3,2003
"ppt200304bi",50.18000031,4,2003
"ppt200305bi",33.56000137,5,2003
"ppt200306bi",0,6,2003
"ppt200307bi",36.97000122,7,2003
"ppt200308bi",59.5,8,2003
"ppt200309bi",4.300000191,9,2003
"ppt200310bi",5.730000019,10,2003
"ppt200311bi",23.52000046,11,2003
"ppt200312bi",45.66999817,12,2003
"ppt200401bi",37.75999832,1,2004
"ppt200402bi",86.62999725,2,2004
"ppt200403bi",15.48999977,3,2004
"ppt200404bi",14.39000034,4,2004
"ppt200405bi",16.67000008,5,2004
"ppt200406bi",6.230000019,6,2004
"ppt200407bi",6.21999979,7,2004
"ppt200408bi",61.36000061,8,2004
"ppt200409bi",0,9,2004
"ppt200410bi",105.1800003,10,2004
"ppt200411bi",49.91999817,11,2004
"ppt200412bi",98.13999939,12,2004
"ppt200501bi",177.949997,1,2005
"ppt200502bi",66.66999817,2,2005
"ppt200503bi",93.97000122,3,2005
"ppt200504bi",30.98999977,4,2005
"ppt200505bi",36.84000015,5,2005
"ppt200506bi",5.699999809,6,2005
"ppt200507bi",10.76000023,7,2005
"ppt200508bi",22.77000046,8,2005
"ppt200509bi",12.77000046,9,2005
"ppt200510bi",22.18000031,10,2005
"ppt200511bi",4.900000095,11,2005
"ppt200512bi",173.6499939,12,2005
"ppt200601bi",133.1499939,1,2006
"ppt200602bi",44.8199997,2,2006
"ppt200603bi",97.37000275,3,2006
"ppt200604bi",113.7099991,4,2006
"ppt200605bi",47.38999939,5,2006
"ppt200606bi",10.57999992,6,2006
"ppt200607bi",33.93000031,7,2006
"ppt200608bi",0,8,2006
"ppt200609bi",1.090000033,9,2006
"ppt200610bi",31.54000092,10,2006
"ppt200611bi",5.510000229,11,2006
"ppt200612bi",44.11999893,12,2006
"ppt200701bi",15.68000031,1,2007
"ppt200702bi",64.59999847,2,2007
"ppt200703bi",12.77999973,3,2007
"ppt200704bi",32.09999847,4,2007
"ppt200705bi",3.089999914,5,2007
"ppt200706bi",1.299999952,6,2007
"ppt200707bi",34.0699997,7,2007
"ppt200708bi",79.08000183,8,2007
"ppt200709bi",29.44000053,9,2007
"ppt200710bi",14.52000046,10,2007
"ppt200711bi",4.71999979,11,2007
"ppt200712bi",57.34999847,12,2007
"ppt200801bi",185.8899994,1,2008
"ppt200802bi",73.69999695,2,2008
"ppt200803bi",10,3,2008
"ppt200804bi",0,4,2008
"ppt200805bi",30.29000092,5,2008
"ppt200806bi",0,6,2008
"ppt200807bi",20.64999962,7,2008
"ppt200808bi",5.860000134,8,2008
"ppt200809bi",3.150000095,9,2008
"ppt200810bi",17.5,10,2008
"ppt200811bi",26.61000061,11,2008
"ppt200812bi",61.40999985,12,2008
"ppt200901bi",34.04000092,1,2009
"ppt200902bi",81.75,2,2009
"ppt200903bi",85.02999878,3,2009
"ppt200904bi",16.28000069,4,2009
"ppt200905bi",21.65999985,5,2009
"ppt200906bi",27.53000069,6,2009
"ppt200907bi",7.059999943,7,2009
"ppt200908bi",12.05000019,8,2009
"ppt200909bi",2.349999905,9,2009
"ppt200910bi",78.08000183,10,2009
"ppt200911bi",5.360000134,11,2009
"ppt200912bi",61.79999924,12,2009
"ppt201001bi",103.2699966,1,2010
"ppt201002bi",86.01000214,2,2010
"ppt201003bi",40.88999939,3,2010
"ppt201004bi",126.3300018,4,2010
"ppt201005bi",16.60000038,5,2010
"ppt201006bi",0,6,2010
"ppt201007bi",16,7,2010
"ppt201008bi",1.169999957,8,2010
"ppt201009bi",0,9,2010
"ppt201010bi",62.34000015,10,2010
"ppt201011bi",18.32999992,11,2010
"ppt201012bi",234.8500061,12,2010
"ppt201101bi",10.5699997,1,2011
"ppt201102bi",70.54000092,2,2011
"ppt201103bi",124.9899979,3,2011
"ppt201104bi",24.47999954,4,2011
"ppt201105bi",19.38999939,5,2011
"ppt201106bi",16.59000015,6,2011
"ppt201107bi",2.950000048,7,2011
"ppt201108bi",4.599999905,8,2011
"ppt201109bi",14.89999962,9,2011
"ppt201110bi",39.3199997,10,2011
"ppt201111bi",6,11,2011
"ppt201112bi",0,12,2011
"ppt201201bi",92.87000275,1,2012
"ppt201202bi",6.650000095,2,2012
"ppt201203bi",31.32999992,3,2012
"ppt201204bi",35.04000092,4,2012
"ppt201205bi",4.269999981,5,2012
"ppt201206bi",1.389999986,6,2012
"ppt201207bi",33.8199997,7,2012
"ppt201208bi",39.86999893,8,2012
"ppt201209bi",11.43000031,9,2012
"ppt201210bi",23.73999977,10,2012
"ppt201211bi",9.25,11,2012
"ppt201212bi",130.4100037,12,2012
"ppt201301bi",8.159999847,1,2013
"ppt201302bi",5.71999979,2,2013
"ppt201303bi",4.079999924,3,2013
"ppt201304bi",23.12999916,4,2013
"ppt201305bi",27.32999992,5,2013
"ppt201306bi",0.209999993,6,2013
"ppt201307bi",20.60000038,7,2013
"ppt201308bi",5.619999886,8,2013
"ppt201309bi",29.03000069,9,2013
"ppt201310bi",16.84000015,10,2013
"ppt201311bi",8.800000191,11,2013
"ppt201312bi",10.14000034,12,2013
"ppt201401bi",31.20000076,1,2014
"ppt201402bi",55.68999863,2,2014
"ppt201403bi",58.25,3,2014
"ppt201404bi",25.94000053,4,2014
"ppt201405bi",34.36000061,5,2014
"ppt201406bi",7.039999962,6,2014
"ppt201407bi",40.97000122,7,2014
"ppt201408bi",33.40000153,8,2014
"ppt201409bi",36.59999847,9,2014
"ppt201410bi",0,10,2014
"ppt201411bi",5.550000191,11,2014
"ppt201412bi",29.5699997,12,2014
"ppt201501bi",4.099999905,1,2015
"ppt201502bi",33.27999878,2,2015
"ppt201503bi",6.239999771,3,2015
"ppt201504bi",17.13999939,4,2015
"ppt201505bi",56.40999985,5,2015
"ppt201506bi",24.67000008,6,2015
"ppt201507bi",36.75,7,2015
"ppt201508bi",28.5699997,8,2015
"ppt201509bi",10.60999966,9,2015
"ppt201510bi",33.61000061,10,2015
"ppt201511bi",26.63999939,11,2015
"ppt201512bi",65.12999725,12,2015
